Index,Sentence,Options,Label,Result
11,"Don't trust everything on the social media. It appears that people are having the best time of their lives, but remember, it can be fake.","A. He is the winner of three Grammy awards for god's sake! People consider him to be the god of rap.
B. He was called on national television to talk about his crimes for everyone to listen directly from the serial killer.
C. The life of a celebrity looks like they have it all, but in fact they have more problems than anyone can possibly imagine.
D. John studied all throughout college in the hopes of landing a good job. He made sacrifices and put in a lot of hard work.",C,"C. The life of a celebrity looks like they have it all, but in fact they have more problems than anyone can possibly imagine."
12,"Sometimes I feel I should have gone for my master’s degree like you instead of this job. Well, the grass is always greener on the other side.","A. As they say, every cloud has a silver lining. If we hadn't missed the plane, we would never have met you.
B. By that time, my friend was broke, so he had to sell his house.
C. It looks like fun but it is actually a struggle to move to a different country. You should count your blessings.
D. As someone with social anxiety, joining the debate club many years ago led me to become a powerful and persuasive public speaker.",C,"D. As someone with social anxiety, joining the debate club many years ago led me to become a powerful and persuasive public speaker."
13,The lawyer left his profession to become an MBA graduate thinking it was better. Guess what? He is still struggling to find a job.,"A. Sally owns a pet dog; the dog always wiggles its tails and sits next to Sally's father more than anyone else.
B. Don't be greedy, just take whatever they offer you as if you negotiate too much they might take the offer back.
C. Maintaining a steady pace and avoiding excessive running at the start is crucial in a marathon.
D. The journalist thought the life of the famous actress was extraordinary, only to realize later that it was not what it looks like.",D,"D. The journalist thought the life of the famous actress was extraordinary, only to realize later that it was not what it looks like."
14,John is rich and everyone is envious of his wealth. But he is also lonely as he has no one to share his life with.,"A. I asked Joe to lend me his bicycle, and he sent me this old, rusty one which I had to use as I had no other option.
B. Jake might look confused all the time, but he's really extremely bright.
C. He spoke about his guitar skills poorly, but when he played, his hard work showed through the music he produced.
D. Sally was adamant and stubborn about her religious beliefs and went through with the ceremony with full conviction.",B,"D. Sally was adamant and stubborn about her religious beliefs and went through with the ceremony with full conviction.

Explanation:
The target sentence describes John's emotional state, specifically his loneliness, which is analogous to Sally's adamant and stubborn beliefs in the given option. Both sentences convey a sense of determination and conviction, even in the face of potential criticism or opposition."
15,It looks like fun but it is actually a struggle to move to a different country. You should count your blessings.,"A. A large suburban community has developed outside the city center over the past few decades.
B. He was depending heavily on the success of his venture, but when it failed, he was ruined. He realized that he should have had other backup plans.
C. Jake might look confused all the time, but he's really extremely bright.
D. After years of working as a lawyer, Smith decided to quit and open a youtube channel for his singing videos.",C,"B. He was depending heavily on the success of his venture, but when it failed, he was ruined. He realized that he should have had other backup plans."
16,"The life of a celebrity looks like they have it all, but in fact they have more problems than anyone can possibly imagine.","A. Kevin was worshipped by the new recruits to be the best player in the game. But when they met him they learned that the famous goal was just a fluke.
B. Lake Erie drains into Lake Ontario via the Niagara River.
C. Often times, in the interest of reaching the destination, we forget to experience the journey.
D. I would rather use my old pan for cooking than buy the new utensil with fancy features.",A,D. I would rather use my old pan for cooking than buy the new utensil with fancy features.
17,She thought her neighbor's home was more attractive than her own when she turned to look at it. But she had no idea that it was more difficult to keep up.,"A. John is rich and everyone is envious of his wealth. But he is also lonely as he has no one to share his life with.
B. By that time, my friend was broke, so he had to sell his house.
C. The drawing shows me at one glance, what a book can only show me in many pages.
D. Linda's demeanor changes whenever her husband is around. She feels she can be her true self whenever she's with him.",A,D. Linda's demeanor changes whenever her husband is around. She feels she can be her true self whenever she's with him.
18,After letting off his rage he sat down like a lamb.,"A. A journey of a thousand miles begins with a single step.
B. It is important to keep learning new skills and not rely on one skill for your career. With emerging technology, current skills may become outdated in the future.
C. Their company is so debt-ridden due to erratic management that I think it's safe to say they're about to go bankrupt.
D. Politicians frequently tell lies, which gets them into problems. They could win election after election if they would just be sincere about their aims.",C,"D. Politicians frequently tell lies, which gets them into problems."
19,The weather finally became pleasant following the stormy week.,"A. A soft breeze blew after the gust of wind shook down the shacks.
B. These files require a throrough look, don't skim through them quickly.
C. Claire always thought that Max was unkind and rude because of his edgy fashion sense. But once she learned how kind and sensitive he was, she was surprised.
D. It is not that cold today, but I'd still go by car since I can't afford to get sick.",A,"D. It is not that cold today, but I'd still go by car since I can't afford to get sick."
20,Having cried the entire night she greeted everyone in the morning like sunshine.,"A. Let's forget what happened and work on the project together.
B. Brian kept quiet at the board meeting, who knew he had an Ace hidden up his sleeve the whole time.
C. He collapsed after he ran for the marathon.
D. The company was apologetic for not being able to pay the holiday bonus to employees.",C,"B. Brian kept quiet at the board meeting, who knew he had an Ace hidden up his sleeve the whole time."
21,A soft breeze blew after the gust of wind shook down the shacks.,"A. A broken cup can no longer contain its coffee.
B. Little by little, the stove’s radiating heat melted the chocolate bar on the counter nearby.
C. I asked Joe to lend me his bicycle, and he sent me this old, rusty one which I had to use as I had no other option.
D. He collapsed after he ran for the marathon.",D,"C. I asked Joe to lend me his bicycle, and he sent me this old, rusty one which I had to use as I had no other option."
22,"As the flame extinguished, it left behind a thin wisp of smoke.","A. Let Sam share the story of the movie herself as she was the one who went to watch it.
B. Post graduation, Emily decided to not go for any jobs but instead chose to travel and paint for enjoyment.
C. The group managed to finish the project just in time and submitted the report two minutes before the deadline.
D. Their company is so debt-ridden due to erratic management that I think it's safe to say they're about to go bankrupt.",D,D. Their company is so debt-ridden due to erratic management that I think it's safe to say they're about to go bankrupt.
23,He danced off his sugar high then promptly fell asleep.,"A. He collapsed after he ran for the marathon.
B. Having different social groups is a good idea so that you can enjoy all the things you like with different kinds of people.
C. Andy opened the window blinds to see the sun rising. The dark room was brighly lit in a few hours.
D. A large suburban community has developed outside the city center over the past few decades.",A,D. A large suburban community has developed outside the city center over the past few decades.
24,My pet dog is down for the count after playing the whole day with the frisbee.,"A. I am mad at Kim for choosing not to support me at my wedding.
B. Their company is so debt-ridden due to erratic management that I think it's safe to say they're about to go bankrupt.
C. Although he isn't my favorite singer, my brother absolutely adores his vocals and techniques.
D. It is not that cold today, but I'd still go by car since I can't afford to get sick.",B,"D. It is not that cold today, but I'd still go by car since I can't afford to get sick."
25,Their company is so debt-ridden due to erratic management that I think it's safe to say they're about to go bankrupt.,"A. Often times, in the interest of reaching the destination, we forget to experience the journey.
B. We missed the bus, but it serves no use to be angry about it right now, so let's walk.
C. While a bed would be nice, I'm fine with sleeping on the sofa in the living room for now.
D. He danced off his sugar high then promptly fell asleep.",D,"B. We missed the bus, but it serves no use to be angry about it right now, so let's walk."
26,"On his last birthday, Mike's friend gave him so many drinks that he passed out before midnight.","A. Having immersed herself in a day-long painting marathon, my friend is now completely drained and refused to get up for several minutes.
B. After losing half of the soldiers, they had no other option but to use the tank to fight.
C. Better to buy the sweets we are accustomed to than to try the new ones that might taste better.
D. Her atheltic career started with her first visit to the gym. She never looked back and now is a world class athelete.",A,D. Her athletic career started with her first visit to the gym. She never looked back and now is a world-class athlete.
27,"After going through an extensive workload, Ally got very sick and will be doing nothing but rest during this weekend.","A. Everyone likes me because I'm so quiet and obedient. The same cannot be said for my wild cousin Nathan, who always lands himself in trouble.
B. I love to talk to people who know about computers because I enjoy learning about computers.
C. On his last birthday, Mike's friend gave him so many drinks that he passed out before midnight.
D. Sally has never been to the gym as she is afraid of lifting weights, but lately she's been showing interest and said she will start soon.",C,"D. Sally has never been to the gym as she is afraid of lifting weights, but lately she's been showing interest and said she will start soon."
28,"Having immersed herself in a day-long painting marathon, my friend is now completely drained and refused to get up for several minutes.","A. Wow, your kid just graduated middle schoool! You must be filled with pride and joy.
B. The savvy politician had a secret plan that could make him win. At the last moment, he revealed a scandalous secret about his opponent.
C. He collapsed after he ran for the marathon.
D. A succession of waves battered the rock.",C,C. He collapsed after he ran for the marathon.
29,Monica cooked so much food last weekend in the restaurant that she had to take a leave to rest on Monday.,"A. Philip avoided the chores by pretending to be busy until his mother realised he had no work and made him do the chores all week.
B. He danced off his sugar high then promptly fell asleep.
C. After years of working as a lawyer, Smith decided to quit and open a youtube channel for his singing videos.
D. A picture of diseased lungs on the back of cigarette packs is more effective than just the statutory warning message.",B,D. A picture of diseased lungs on the back of cigarette packs is more effective than just the statutory warning message.
30,After working two years for the company she was burned out.,"A. The company was apologetic for not being able to pay the holiday bonus to employees.
B. My pet dog is down for the count after playing the whole day with the frisbee.
C. Keep a jug full of water near the table in case you get thirsty at night.
D. Sally spent the weekend relaxing following her sister's example. But it was not right choice as she had a lot of work to do.",B,D. Sally spent the weekend relaxing following her sister's example.
31,He collapsed after he ran for the marathon.,"A. All the people who had the same interests at the conference were socializing together.
B. Having immersed herself in a day-long painting marathon, my friend is now completely drained and refused to get up for several minutes.
C. Kim checked the papers in a rush so that she can have more free time. But, now she needs to redo them as half of the class complained.
D. Sally owns a pet dog; the dog always wiggles its tails and sits next to Sally's father more than anyone else.",B,D. Sally owns a pet dog; the dog always wiggles its tails and sits next to Sally's father more than anyone else.
32,"You may not like your job, but don't quit merely on the hope of finding a better one.","A. I wanted to go out for dinner but I had no money and had to eat the left-over rice from last night.
B. I hold it against him for not treating me with respect.
C. Although I'm pretty familiar with this part of the woods and don't need a map, I still brought one with me in case I got lost during the hike.
D. Many people fail to understand the beauty of mathematics. But to me, it is the most meaningful subject.",C,"D. Many people fail to understand the beauty of mathematics. But to me, it is the most meaningful subject."
33,"He left his partner to find true love, only to realize that he already had it before.","A. He is the winner of three Grammy awards for god's sake! People consider him to be the god of rap.
B. Make sure you take an umbrella – I know it's sunny now, but better safe than sorry.
C. Although many people dislike the color combination of orange and green, I believe it to be one of the best.
D. The savvy politician had a secret plan that could make him win. At the last moment, he revealed a scandalous secret about his opponent.",B,"D. The savvy politician had a secret plan that could make him win. At the last moment, he revealed a scandalous secret about his opponent."
34,Better to buy the sweets we are accustomed to than to try the new ones that might taste better.,"A. By that time, my friend was broke, so he had to sell his house.
B. The group managed to finish the project just in time and submitted the report two minutes before the deadline.
C. It is not that cold today, but I'd still go by car since I can't afford to get sick.
D. Just because your roommate never cleans up after himself doesn't mean you should too.",C,D. Just because your roommate never cleans up after himself doesn't mean you should too.
35,I would rather use my old pan for cooking than buy the new utensil with fancy features.,"A. Mary often boasted of her rose garden to be the best garden in the city. But in reality it is nothing but ordinary.
B. You must go immediately if you want to meet with the Senate. Otherwise, you'll struggle due to the traffic.
C. It is not that cold today, but I'd still go by car since I can't afford to get sick.
D. John wanted to build and paint the nursery without having heard the adoption agency's decision.",C,D. John wanted to build and paint the nursery without having heard the adoption agency's decision.
36,Let's make-do with the cold and build a fire instead of waiting for the weather to warm up.,"A. Let Mike share the incident with you as he is the one who went through it and will be able to give enough details.
B. She has been talking trash about us all week to everyone. So I don't feel sorry for her when someone spilled all her secrets.
C. It was a fantastic vacation, but all good things come to an end.
D. You may not like your job, but don't quit merely on the hope of finding a better one.",D,"D. You may not like your job, but don't quit merely on the hope of finding a better one."
37,"Even if rain is on the forecast, keep watering your garden.","A. It is not acceptable to do a bad thing just because someone else has done it.
B. He spent years trying to avoid paying taxes, and now he's facing nearly 10 years in prison for it.
C. I wish the TV show never ended. It was so good but unfortunately the writers thought to end it at a high point.
D. Although I'm pretty familiar with this part of the woods and don't need a map, I still brought one with me in case I got lost during the hike.",D,"D. Although I'm pretty familiar with this part of the woods and don't need a map, I still brought one with me in case I got lost during the hike."
38,"Make sure you take an umbrella – I know it's sunny now, but better safe than sorry.","A. I love to talk to people who know about computers because I enjoy learning about computers.
B. Even though it took me two weeks, I at least sent the letter.
C. Everyone likes me because I'm so quiet and obedient. The same cannot be said for my wild cousin Nathan, who always lands himself in trouble.
D. Better to buy the sweets we are accustomed to than to try the new ones that might taste better.",D,D. Better to buy the sweets we are accustomed to than to try the new ones that might taste better.
39,"To avoid burning your hands, use oven mitts when removing the cake, as it will be hot unlike how it is now.","A. It is not that cold today, but I'd still go by car since I can't afford to get sick.
B. Although she realized the mistake a week after the incident, she waited two years before finally apologizing and confessing.
C. Sally always gets so happy and comfortable whenever Sharon is around.
D. They don’t talk about Olive anymore, turns out he was the Black sheep of the family, he married someone else while he was still engaged to his fiancé.",A,"D. They don’t talk about Olive anymore, turns out he was the Black sheep of the family, he married someone else while he was still engaged to his fiancé."
40,"It is not that cold today, but I'd still go by car since I can't afford to get sick.","A. Although I'm pretty familiar with this part of the woods and don't need a map, I still brought one with me in case I got lost during the hike.
B. He spoke about his guitar skills poorly, but when he played, his hard work showed through the music he produced.
C. Her atheltic career started with her first visit to the gym. She never looked back and now is a world class athelete.
D. Having cried the entire night she greeted everyone in the morning like sunshine.",A,"B. He spoke about his guitar skills poorly, but when he played, his hard work showed through the music he produced."
41,"Don't be greedy, just take whatever they offer you as if you negotiate too much they might take the offer back.","A. Let's make-do with the cold and build a fire instead of waiting for the weather to warm up.
B. Everyone thought that he would lose, but he made a comeback through herculean effort.
C. She never bragged about her grades but secured the second position in the board exams. Truly, actions speak louder than words.
D. Everyone likes me because I'm so quiet and obedient. The same cannot be said for my wild cousin Nathan, who always lands himself in trouble.",A,"D. Everyone likes me because I'm so quiet and obedient. The same cannot be said for my wild cousin Nathan, who always lands himself in trouble."
42,"Although I'm pretty familiar with this part of the woods and don't need a map, I still brought one with me in case I got lost during the hike.","A. Often times, in the interest of reaching the destination, we forget to experience the journey.
B. No need to take so much work this quarter, as performance won't impact appraisals. Work more in the next two quarters when the management will actively prioritize it.
C. I think it’s better to compromise with your neighbour now instead of letting tensions simmer and allowing the problem to snowball.
D. Let's make-do with the cold and build a fire instead of waiting for the weather to warm up.",D,D. Let's make-do with the cold and build a fire instead of waiting for the weather to warm up.
43,Keep a jug full of water near the table in case you get thirsty at night.,"A. Let Mike share the incident with you as he is the one who went through it and will be able to give enough details.
B. Andy opened the window blinds to see the sun rising. The dark room was brighly lit in a few hours.
C. Resolving small issues in relationships immediately may prevent bigger troubles down the road.
D. Make sure you take an umbrella – I know it's sunny now, but better safe than sorry.",D,"D. Make sure you take an umbrella – I know it's sunny now, but better safe than sorry."
44,"In for a penny, in for a pound, we need to stay up all night and get the report done since we cannot turn it in half-finished.","A. I have decided to see the project through and I will do anything to get the work done.
B. He never told her about his feelings but everytime he met her, he was caring towards her.
C. The wife told the husband that since she is in charge of the kitchen, the family will eat what she makes or go hungry.
D. They think they’ve won the contract but we’ve still got a couple of ideas to win it back.",A,D. They think they’ve won the contract but we’ve still got a couple of ideas to win it back.
45,I have decided to see the project through and I will do anything to get the work done.,"A. She wanted to buy a dress in case someone asked her to the dance, but I told her not to count her chickens before they hatched.
B. I am determined to cook the Thanksgiving dinner from scratch this time no matter how difficult it is.
C. But before he knew it, he had already finished the delicious meal.
D. After letting off his rage he sat down like a lamb.",B,B. I am determined to cook the Thanksgiving dinner from scratch this time no matter how difficult it is.
46,"After the team’s defeat last season, they fired their manager and have decided to give it their all to win the title this season.","A. The economic depression was the combined result of several risky fiscal policies.
B. Post graduation, Emily decided to not go for any jobs but instead chose to travel and paint for enjoyment.
C. You wouldn't have these options once you move across the country, so work hard while you are here.
D. I have decided to see the project through and I will do anything to get the work done.",D,D. I have decided to see the project through and I will do anything to get the work done.
47,The poker player liked the hand he was dealt and kept calling until he had staked all his money.,"A. Gary started investing his money and time in creating a small garden for himself during the off season. Gary regrets not planning and starting during the spring and summer season when results are more visible.
B. Lets meet him and ask about the robbery. Since he is the one who was robbed, it would be much more thrilling to hear.
C. I've heard that the defense lawyer has a fresh eyewitness who was previously unknown.
D. Sally was adamant and stubborn about her religious beliefs and went through with the ceremony with full conviction.",D,D. Sally was adamant and stubborn about her religious beliefs and went through with the ceremony with full conviction.
48,John studied all throughout college in the hopes of landing a good job. He made sacrifices and put in a lot of hard work.,"A. The life of royals looks glamorous from afar but it is not as happy and fun as it looks.
B. People work their hardest to attain something only when it is necessary for them.
C. Sarah wanted to book the honeymoon tickets before she had even been proposed to.
D. I have set my mind to go through the spreadsheets by Monday and I am working for it hook, line and sinker.",D,"D. I have set my mind to go through the spreadsheets by Monday and I am working for it hook, line and sinker."
49,"The director finally completed the film, having done everything in his power to get the film released and bankrupting his production company.","A. Peter's parents said they were not good parents at all but they were always ready to spend quality time with their children showing they were really good parents.
B. He spoke about his guitar skills poorly, but when he played, his hard work showed through the music he produced.
C. I cannot believe you don't know who Cristiano Ronaldo is! He is one of the greatest football players alive.
D. In for a penny, in for a pound, we need to stay up all night and get the report done since we cannot turn it in half-finished.",D,"D. In for a penny, in for a pound, we need to stay up all night and get the report done since we cannot turn it in half-finished."
50,"I have set my mind to go through the spreadsheets by Monday and I am working for it hook, line and sinker.","A. Keep a jug full of water near the table in case you get thirsty at night.
B. Listen, losing weight is easier said than done, many people lack commitment.
C. After losing half of the soldiers, they had no other option but to use the tank to fight.
D. Sally was adamant and stubborn about her religious beliefs and went through with the ceremony with full conviction.",D,D. Sally was adamant and stubborn about her religious beliefs and went through with the ceremony with full conviction.
51,I am determined to cook the Thanksgiving dinner from scratch this time no matter how difficult it is.,"A. He made the final cut to the university just by a small margin.
B. A friend of mine who had failed 12th grade for the last five years, finally succeeded to pass.
C. He never told her about his feelings but everytime he met her, he was caring towards her.
D. Harry prepared tirelessly for the final race and put in each and every ounce of energy he had into the training.",D,D. Harry prepared tirelessly for the final race and put in each and every ounce of energy he had into the training.
52,Harry prepared tirelessly for the final race and put in each and every ounce of energy he had into the training.,"A. They don’t talk about Olive anymore, turns out he was the Black sheep of the family, he married someone else while he was still engaged to his fiancé.
B. You may not like your job, but don't quit merely on the hope of finding a better one.
C. In for a penny, in for a pound, we need to stay up all night and get the report done since we cannot turn it in half-finished.
D. Sally always gets so happy and comfortable whenever Sharon is around.",C,"C. In for a penny, in for a pound, we need to stay up all night and get the report done since we cannot turn it in half-finished."
53,Sally was adamant and stubborn about her religious beliefs and went through with the ceremony with full conviction.,"A. Don't trust everything on the social media. It appears that people are having the best time of their lives, but remember, it can be fake.
B. I have decided to see the project through and I will do anything to get the work done.
C. Lisa knew that Mark borrowed her book without asking, but she doesn't mention this to him.
D. Walter failed his exam, but his father only responded, ""Son, don't cry over spilt milk,"" when he arrived.",B,"D. Walter failed his exam, but his father only responded, ""Son, don't cry over spilt milk,"" when he arrived."
54,I was completely against nationalization. I resisted it wholeheartedly even though I became quite unpopular in the process.,"A. Sally was adamant and stubborn about her religious beliefs and went through with the ceremony with full conviction.
B. I would have preferred a house of my own rather than sharing, but beggars can't be choosers, I suppose.
C. Little by little, the stove’s radiating heat melted the chocolate bar on the counter nearby.
D. All that glitters is not gold.",A,D. All that glitters is not gold.
55,Larry was so attached to the idea of working for Frank that no other employer could convince him otherwise.,"A. A succession of waves battered the rock.
B. I am absolutely terrified of skydiving, but I think once in my life, I will give it a whirl.
C. Enjoy the honeymoon period of your marriage as much as you can before it passes.
D. In for a penny, in for a pound, we need to stay up all night and get the report done since we cannot turn it in half-finished.",D,"D. In for a penny, in for a pound, we need to stay up all night and get the report done since we cannot turn it in half-finished."
56,"The drawing shows me at one glance, what a book can only show me in many pages.","A. Hearing the startup give its business pitch was more informative than any of their marketing and advertising.
B. Resolving small issues in relationships immediately may prevent bigger troubles down the road.
C. Doing your work thoroughly and responsibly helps you avoid problems in the long run.
D. Larry was upset even months after breaking up with Samantha. So, Mary, his sister finally told him that there is no point in dwelling over it since Samantha has moved on.",A,"D. Larry was upset even months after breaking up with Samantha. So, Mary, his sister finally told him that there is no point in dwelling over it since Samantha has moved on."
57,I can just watch the adaptation instead of reading the 5 massive books the adaptation was based on.,"A. My daughter creates problems for my mom in the afternoon if she has nothing else to do. After all, an idle brain is the devil’s workshop.
B. Hearing the startup give its business pitch was more informative than any of their marketing and advertising.
C. The life of a celebrity looks like they have it all, but in fact they have more problems than anyone can possibly imagine.
D. Frank has never tried to write a computer program before as he finds computers daunting. But last time we met, he said he will go for it.",B,"D. Frank has never tried to write a computer program before as he finds computers daunting. But last time we met, he said he will go for it."
58,A picture of diseased lungs on the back of cigarette packs is more effective than just the statutory warning message.,"A. Ron comes up with detailed and complex pranks because he is not given any responsibilities towards anything.
B. I can just watch the adaptation instead of reading the 5 massive books the adaptation was based on.
C. The painter did not have the yellow color with him so had to paint with red, making his painting famous for its unconventional choice.
D. Don't let his clothes fool you. He may dress himself in simple clothes without logos, but he is actually a millionaire.",B,"D. Don't let his clothes fool you. He may dress himself in simple clothes without logos, but he is actually a millionaire."
59,Hearing the startup give its business pitch was more informative than any of their marketing and advertising.,"A. The lawyer left his profession to become an MBA graduate thinking it was better. Guess what? He is still struggling to find a job.
B. It is better to use a map with directions than reading the instructions on how to arrive at the event.
C. Sam decided not to engage with Peter in a friendly manner anymore after he made fun of her about her insecurities.
D. The group managed to finish the project just in time and submitted the report two minutes before the deadline.",B,D. The group managed to finish the project just in time and submitted the report two minutes before the deadline.
60,It is better to use a map with directions than reading the instructions on how to arrive at the event.,"A. Andy opened the window blinds to see the sun rising. The dark room was brighly lit in a few hours.
B. Mary prefered to learn from the diagrams of the processes than from the notes describing them as they gave her a better idea.
C. The presentation was such a mess! The presenters tried to convey a lot of information in such a short time that there was no clarity.
D. When he finally started earning after years of struggle, Alex spent all his money on drinks and parties as he wanted to enjoy his life now.",B,B. Mary preferred to learn from the diagrams of the processes than from the notes describing them as they gave her a better idea.
61,Mary prefered to learn from the diagrams of the processes than from the notes describing them as they gave her a better idea.,"A. The drawing shows me at one glance, what a book can only show me in many pages.
B. Philly won the game but the opponent was just as good and also came close to victory.
C. Andy played hooky from work for a week saying he was sick, now he is on very thin ice according to his boss.
D. The life of a celebrity looks like they have it all, but in fact they have more problems than anyone can possibly imagine.",A,"D. The life of a celebrity looks like they have it all, but in fact they have more problems than anyone can possibly imagine."
62,"I would have preferred a house of my own rather than sharing, but beggars can't be choosers, I suppose.","A. I have decided to see the project through and I will do anything to get the work done.
B. While the president was immensely popular, he nevertheless had to step down at the conclusion of his term per the rules of the constitution.
C. The water is flowing from a large beaker to a smaller one through a narrow pipe.
D. After losing half of the soldiers, they had no other option but to use the tank to fight.",D,"D. After losing half of the soldiers, they had no other option but to use the tank to fight."
63,"That dress wasn't exactly what I would have picked for myself, but, hey, it was free, and I'm broke right now.","A. Jake might look confused all the time, but he's really extremely bright.
B. I would have preferred a house of my own rather than sharing, but beggars can't be choosers, I suppose.
C. The congressman became so involved in the wording of his bill that he did not realize that the bill could never pass.
D. Sarah wanted to book the honeymoon tickets before she had even been proposed to.",B,D. Sarah wanted to book the honeymoon tickets before she had even been proposed to.
64,"I asked Joe to lend me his bicycle, and he sent me this old, rusty one which I had to use as I had no other option.","A. John is rich and everyone is envious of his wealth. But he is also lonely as he has no one to share his life with.
B. Don't trust everything on the social media. It appears that people are having the best time of their lives, but remember, it can be fake.
C. That dress wasn't exactly what I would have picked for myself, but, hey, it was free, and I'm broke right now.
D. For not submitting her homework on time, Amy falsely made up an excuse that her dog ate it but the professor decided to penalize her.",C,"D. For not submitting her homework on time, Amy falsely made up an excuse that her dog ate it but the professor decided to penalize her."
