Index,Sentence,Options,Label
11,All that glitters is not gold.,"A. These files require a throrough look, don't skim through them quickly.
B. A fallen tree cannot provide shade.
C. Everyone thought that he would lose, but he made a comeback through herculean effort.
D. Sometimes I feel I should have gone for my master’s degree like you instead of this job. Well, the grass is always greener on the other side.",D
12,All that glitters is not gold.,"A. All the people who had the same interests at the conference were socializing together.
B. Don’t ignore the sudden malfunctioning of your car, just go to the garage. A stitch in time saves nine.
C. The lawyer left his profession to become an MBA graduate thinking it was better. Guess what? He is still struggling to find a job.
D. The deal was finally in the bag after a few rounds of tough negotiations.",C
13,All that glitters is not gold.,"A. The parent tries to instill bits of knowledge in their child by simple communication.
B. Lisa knew that Mark borrowed her book without asking, but she doesn't mention this to him.
C. Frank has never tried to write a computer program before as he finds computers daunting. But last time we met, he said he will go for it.
D. John is rich and everyone is envious of his wealth. But he is also lonely as he has no one to share his life with.",D
14,All that glitters is not gold.,"A. Frank finally had a good sleep in his childhood bed when he returned to the familiarity of his home country after years of working in faraway lands.
B. It looks like fun but it is actually a struggle to move to a different country. You should count your blessings.
C. Every cigarette you smoked is a threat to your health.
D. After losing half of the soldiers, they had no other option but to use the tank to fight.",B
15,All that glitters is not gold.,"A. The life of a celebrity looks like they have it all, but in fact they have more problems than anyone can possibly imagine.
B. The presentation was such a mess! The presenters tried to convey a lot of information in such a short time that there was no clarity.
C. With no homework to do, I spent the weekend coming up with ways to annoy my brother.
D. Had she brought the chicken for the birthday party as planned, we wouldn't have got the chance to taste the delicious pasta she made.",A
16,All that glitters is not gold.,"A. The poker player liked the hand he was dealt and kept calling until he had staked all his money.
B. All the people who had the same interests at the conference were socializing together.
C. She thought her neighbor's home was more attractive than her own when she turned to look at it. But she had no idea that it was more difficult to keep up.
D. Lester made the dance team by the skin of his teeth since the audition was about to be closed.",C
17,The life of royals looks glamorous from afar but it is not as happy and fun as it looks.,"A. All that glitters is not gold.
B. Larry was so attached to the idea of working for Frank that no other employer could convince him otherwise.
C. After getting fired and having nothing else to do, Kate spent her days imagining schemes to get the boss fired.
D. I can see that you are beside yourself with joy at being selected for the job, congratulations.",A
18,The life of royals looks glamorous from afar but it is not as happy and fun as it looks.,"A. The opponents are unaware of my greatest asset, which is my stamina. The other runners have no chance at all!.
B. The journalist thought the life of the famous actress was extraordinary, only to realize later that it was not what it looks like.
C. Mary started making vacation plans but realized she might not get leave until the project was done.
D. Monica cooked so much food last weekend in the restaurant that she had to take a leave to rest on Monday.",B
19,The life of royals looks glamorous from afar but it is not as happy and fun as it looks.,"A. Keep a jug full of water near the table in case you get thirsty at night.
B. John studied all throughout college in the hopes of landing a good job. He made sacrifices and put in a lot of hard work.
C. The charming so-called CEO later proved to be the wrong choice to make a deal with. Turns out his promises were only empty words.
D. A journey of a thousand miles begins with a single step.",C
20,The life of royals looks glamorous from afar but it is not as happy and fun as it looks.,"A. It is not that cold today, but I'd still go by car since I can't afford to get sick.
B. Kevin was worshipped by the new recruits to be the best player in the game. But when they met him they learned that the famous goal was just a fluke.
C. She posted a lot about her friendship with Mary on Instagram. But in reality they hardly had any bond as they were constantly on their phones when together.
D. Sally owns a pet dog; the dog always wiggles its tails and sits next to Sally's father more than anyone else.",B
21,The life of royals looks glamorous from afar but it is not as happy and fun as it looks.,"A. She thinks he is the most attractive man in the world, even though others perceive him as ordinary.
B. The professor knows the students mostly copied the homework, but decides not to be strict about it.
C. But before he knew it, he had already finished the delicious meal.
D. Mary often boasted of her rose garden to be the best garden in the city. But in reality it is nothing but ordinary.",D
22,The life of royals looks glamorous from afar but it is not as happy and fun as it looks.,"A. Don’t judge people based on appearances alone; appearances can be deceptive.
B. Walter failed his exam, but his father only responded, ""Son, don't cry over spilt milk,"" when he arrived.
C. By that time, my friend was broke, so he had to sell his house.
D. The professor knows the students mostly copied the homework, but decides not to be strict about it.",A
23,The life of royals looks glamorous from afar but it is not as happy and fun as it looks.,"A. When Chris turned forty, he decided to live his life in the fast lane and quit his job for his hobbies.
B. While the president was immensely popular, he nevertheless had to step down at the conclusion of his term per the rules of the constitution.
C. The job was finally his after the last interview that went well.
D. Don't let his clothes fool you. He may dress himself in simple clothes without logos, but he is actually a millionaire.",D
24,The life of royals looks glamorous from afar but it is not as happy and fun as it looks.,"A. Although Lexi looks like an airhead, she is one of the wisest people I have ever met.
B. Don't consider work or stress when on vacation. Have fun; you'll only be gone for a week.
C. Don’t rush through your assignment, remember haste makes waste.
D. I would rather use my old pan for cooking than buy the new utensil with fancy features.",A
25,The life of royals looks glamorous from afar but it is not as happy and fun as it looks.,"A. Claire always thought that Max was unkind and rude because of his edgy fashion sense. But once she learned how kind and sensitive he was, she was surprised.
B. The technical lead informed the team that they have to follow his ideas for the project to be completed without question or risk failure.
C. I am mad at Kim for choosing not to support me at my wedding.
D. Sally always gets so happy and comfortable whenever Sharon is around.",A
26,The life of royals looks glamorous from afar but it is not as happy and fun as it looks.,"A. We should submit the courses we want to register as early as possible so that we can get a seat.
B. While people believed it was impossible to escape from the secret police, Peter somehow managed to do so successfully, albeit a bit close for comfort.
C. Jake might look confused all the time, but he's really extremely bright.
D. When Juli's favorite tree had fallen over, her father created a painting of it and said there was nothing else they could do.",C
27,The life of royals looks glamorous from afar but it is not as happy and fun as it looks.,"A. Let's make-do with the cold and build a fire instead of waiting for the weather to warm up.
B. Once she got bored and tired with the same old job, she decided to leave and opened up a restaurant.
C. Don't trust everything on the social media. It appears that people are having the best time of their lives, but remember, it can be fake.
D. While the president was immensely popular, he nevertheless had to step down at the conclusion of his term per the rules of the constitution.",C
28,The life of royals looks glamorous from afar but it is not as happy and fun as it looks.,"A. Your friend going to the spa instead of doing her homework doesn't mean you can do it too.
B. Philip needed an entire day of focus to finish the project that he switched off all of his devices.
C. Sometimes I feel I should have gone for my master’s degree like you instead of this job. Well, the grass is always greener on the other side.
D. Peter's parents said they were not good parents at all but they were always ready to spend quality time with their children showing they were really good parents.",C
29,The life of royals looks glamorous from afar but it is not as happy and fun as it looks.,"A. Monica cooked so much food last weekend in the restaurant that she had to take a leave to rest on Monday.
B. The lawyer left his profession to become an MBA graduate thinking it was better. Guess what? He is still struggling to find a job.
C. The soccer club is divided into groups of people from the same region who practice often with each other.
D. As someone with social anxiety, joining the debate club many years ago led me to become a powerful and persuasive public speaker.",B
30,The life of royals looks glamorous from afar but it is not as happy and fun as it looks.,"A. The doctor had an important surgery the next day, so he asked the staff to not interrupt him with any minor tasks.
B. John is rich and everyone is envious of his wealth. But he is also lonely as he has no one to share his life with.
C. A journey of a thousand miles begins with a single step.
D. Ron comes up with detailed and complex pranks because he is not given any responsibilities towards anything.",B
31,The life of royals looks glamorous from afar but it is not as happy and fun as it looks.,"A. Sam decided not to engage with Peter in a friendly manner anymore after he made fun of her about her insecurities.
B. It looks like fun but it is actually a struggle to move to a different country. You should count your blessings.
C. Garry knows he is underpaid, but he chooses not to focus on it as he is more than happy to have a job.
D. Sandy is the only one who doesn't show up to the dance class and one of us is always without a partner because of it.",B
32,The life of royals looks glamorous from afar but it is not as happy and fun as it looks.,"A. The life of a celebrity looks like they have it all, but in fact they have more problems than anyone can possibly imagine.
B. That dress wasn't exactly what I would have picked for myself, but, hey, it was free, and I'm broke right now.
C. Rory could see the happiness on her mother's face when her brother called after ages.
D. I have decided to see the project through and I will do anything to get the work done.",A
33,The life of royals looks glamorous from afar but it is not as happy and fun as it looks.,"A. She thought her neighbor's home was more attractive than her own when she turned to look at it. But she had no idea that it was more difficult to keep up.
B. The corporation threw in more and more money to fix the problem.
C. Her ideas were challenged as she read book after book.
D. Everyone thought that he would lose, but he made a comeback through herculean effort.",A
34,"The journalist thought the life of the famous actress was extraordinary, only to realize later that it was not what it looks like.","A. The water is flowing from a large beaker to a smaller one through a narrow pipe.
B. All that glitters is not gold.
C. He left his partner to find true love, only to realize that he already had it before.
D. I am sorry, but you would now have to present your work before you can go for the vacation.",B
35,"The journalist thought the life of the famous actress was extraordinary, only to realize later that it was not what it looks like.","A. Philip avoided the chores by pretending to be busy until his mother realised he had no work and made him do the chores all week.
B. The life of royals looks glamorous from afar but it is not as happy and fun as it looks.
C. Although she realized the mistake a week after the incident, she waited two years before finally apologizing and confessing.
D. Sam is scared of speaking to strangers but she wants to build up the courage and try it out.",B
36,"The journalist thought the life of the famous actress was extraordinary, only to realize later that it was not what it looks like.","A. We all begin our lives as a baby and slowly learn and grow.
B. The charming so-called CEO later proved to be the wrong choice to make a deal with. Turns out his promises were only empty words.
C. While people believed it was impossible to escape from the secret police, Peter somehow managed to do so successfully, albeit a bit close for comfort.
D. Once she got bored and tired with the same old job, she decided to leave and opened up a restaurant.",B
37,"The journalist thought the life of the famous actress was extraordinary, only to realize later that it was not what it looks like.","A. A large suburban community has developed outside the city center over the past few decades.
B. In familiy planning, it's wise not to trust just one childcare method. Different parenting styles contribute to a well-rounded upbringing.
C. Kevin was worshipped by the new recruits to be the best player in the game. But when they met him they learned that the famous goal was just a fluke.
D. Frank has never tried to write a computer program before as he finds computers daunting. But last time we met, he said he will go for it.",C
38,"The journalist thought the life of the famous actress was extraordinary, only to realize later that it was not what it looks like.","A. Listen to the news straight from the horse’s mouth, his factory burned down right in front of his eyes.
B. Mary often boasted of her rose garden to be the best garden in the city. But in reality it is nothing but ordinary.
C. Larry was upset even months after breaking up with Samantha. So, Mary, his sister finally told him that there is no point in dwelling over it since Samantha has moved on.
D. Samantha should not spend all her savings on the flight tickets during the holidays. She should wait and check after a few months when the prices are low.",B
39,"The journalist thought the life of the famous actress was extraordinary, only to realize later that it was not what it looks like.","A. The technical lead informed the team that they have to follow his ideas for the project to be completed without question or risk failure.
B. Although she realized the mistake a week after the incident, she waited two years before finally apologizing and confessing.
C. We have been waiting for you for 3 hours, but that's okay. It’s better late than never.
D. Don’t judge people based on appearances alone; appearances can be deceptive.",D
40,"The journalist thought the life of the famous actress was extraordinary, only to realize later that it was not what it looks like.","A. I've heard that the defense lawyer has a fresh eyewitness who was previously unknown.
B. If my project partner hadn't gotten sick I never would have need to finish the entire assignment on my own by working day and night.
C. Don't let his clothes fool you. He may dress himself in simple clothes without logos, but he is actually a millionaire.
D. Since both of our favourite teams have lost, lets enjoy the world cup together and not fight.",C
41,"The journalist thought the life of the famous actress was extraordinary, only to realize later that it was not what it looks like.","A. Although Lexi looks like an airhead, she is one of the wisest people I have ever met.
B. You can't write from an inkless pen.
C. Brian kept quiet at the board meeting, who knew he had an Ace hidden up his sleeve the whole time.
D. Kim checked the papers in a rush so that she can have more free time. But, now she needs to redo them as half of the class complained.",A
42,"The journalist thought the life of the famous actress was extraordinary, only to realize later that it was not what it looks like.","A. Each blade of grass was a bayonet pointed firmly at our bare feet.
B. Wow, your kid just graduated middle schoool! You must be filled with pride and joy.
C. Claire always thought that Max was unkind and rude because of his edgy fashion sense. But once she learned how kind and sensitive he was, she was surprised.
D. Although she realized the mistake a week after the incident, she waited two years before finally apologizing and confessing.",C
43,"The journalist thought the life of the famous actress was extraordinary, only to realize later that it was not what it looks like.","A. Jake might look confused all the time, but he's really extremely bright.
B. Karen is upset with Sandy for not telling her about her plans for the summer.
C. He knocked the nail into the wall with a hammer.
D. After seeing Tim being disappointed over not making the basketball team, Barry advised him to stray away from his emotions and work hard to try again next year.",A
44,"The journalist thought the life of the famous actress was extraordinary, only to realize later that it was not what it looks like.","A. He knocked the nail into the wall with a hammer.
B. Don't trust everything on the social media. It appears that people are having the best time of their lives, but remember, it can be fake.
C. He collapsed after he ran for the marathon.
D. You should have gone to the doctor earlier. They still could have cured you then.",B
45,"The journalist thought the life of the famous actress was extraordinary, only to realize later that it was not what it looks like.","A. After getting fired and having nothing else to do, Kate spent her days imagining schemes to get the boss fired.
B. No light can be found from an unlit candle.
C. Sometimes I feel I should have gone for my master’s degree like you instead of this job. Well, the grass is always greener on the other side.
D. My pet dog is down for the count after playing the whole day with the frisbee.",C
46,"The journalist thought the life of the famous actress was extraordinary, only to realize later that it was not what it looks like.","A. A large suburban community has developed outside the city center over the past few decades.
B. These files require a throrough look, don't skim through them quickly.
C. The lawyer left his profession to become an MBA graduate thinking it was better. Guess what? He is still struggling to find a job.
D. If you don’t go to sleep early, you will wake up late. As you sow, so shall you reap.",C
47,"The journalist thought the life of the famous actress was extraordinary, only to realize later that it was not what it looks like.","A. Sally owns a pet dog; the dog always wiggles its tails and sits next to Sally's father more than anyone else.
B. Lisa knew that Mark borrowed her book without asking, but she doesn't mention this to him.
C. John is rich and everyone is envious of his wealth. But he is also lonely as he has no one to share his life with.
D. Soon after, Garry realized that Hannah was avoiding making the presentation by pretending to be occupied by personal issues, he planned to approach her about it if she repeated it again.",C
48,"The journalist thought the life of the famous actress was extraordinary, only to realize later that it was not what it looks like.","A. It looks like fun but it is actually a struggle to move to a different country. You should count your blessings.
B. The incharge was overjoyed to see that the floor had finally been cleaned properly by the new hire and was no longer slippery.
C. Had she brought the chicken for the birthday party as planned, we wouldn't have got the chance to taste the delicious pasta she made.
D. I would have preferred a house of my own rather than sharing, but beggars can't be choosers, I suppose.",A
49,"The journalist thought the life of the famous actress was extraordinary, only to realize later that it was not what it looks like.","A. Listen to the news straight from the horse’s mouth, his factory burned down right in front of his eyes.
B. The father told the son that it was his way or the highway when the son came back home drunk.
C. Sally owns a pet dog; the dog always wiggles its tails and sits next to Sally's father more than anyone else.
D. The life of a celebrity looks like they have it all, but in fact they have more problems than anyone can possibly imagine.",D
50,"The journalist thought the life of the famous actress was extraordinary, only to realize later that it was not what it looks like.","A. Philly won the game but the opponent was just as good and also came close to victory.
B. She thought her neighbor's home was more attractive than her own when she turned to look at it. But she had no idea that it was more difficult to keep up.
C. Had she brought the chicken for the birthday party as planned, we wouldn't have got the chance to taste the delicious pasta she made.
D. She never bragged about her grades but secured the second position in the board exams. Truly, actions speak louder than words.",B
51,The charming so-called CEO later proved to be the wrong choice to make a deal with. Turns out his promises were only empty words.,"A. If you don’t go to sleep early, you will wake up late. As you sow, so shall you reap.
B. All that glitters is not gold.
C. Fred built an immense fortune by swindling others, but he lost it all when someone swindled him.
D. People in the village say that the house is haunted by the ghost of the lady that lived here many years back. So, my father decides to wait to buy it so he can take more opinions from different people.",B
52,The charming so-called CEO later proved to be the wrong choice to make a deal with. Turns out his promises were only empty words.,"A. They think they’ve won the contract but we’ve still got a couple of ideas to win it back.
B. He made the final cut to the university just by a small margin.
C. The life of royals looks glamorous from afar but it is not as happy and fun as it looks.
D. The doctor had an important surgery the next day, so he asked the staff to not interrupt him with any minor tasks.",C
53,The charming so-called CEO later proved to be the wrong choice to make a deal with. Turns out his promises were only empty words.,"A. Larry always starts the work without reading the requirements and tries to finish it early as well. This leads to others having to fix his work.
B. Philip avoided the chores by pretending to be busy until his mother realised he had no work and made him do the chores all week.
C. The journalist thought the life of the famous actress was extraordinary, only to realize later that it was not what it looks like.
D. Although Larry looked forward to meeting his favorite author at the event, he had yet to receive an invite.",C
54,The charming so-called CEO later proved to be the wrong choice to make a deal with. Turns out his promises were only empty words.,"A. He attacked every point in my argument.
B. Kevin was worshipped by the new recruits to be the best player in the game. But when they met him they learned that the famous goal was just a fluke.
C. To secure the best batch, let's go to the farmer's market early as the remaining options may not be as favorable.
D. The students created a mess in the class when there was no teacher to monitor.",B
55,The charming so-called CEO later proved to be the wrong choice to make a deal with. Turns out his promises were only empty words.,"A. Do you know who you're facing? That's the world champion of taekwondo standing right there!.
B. I have had a great time in college, but tomorrow I will be graduating.
C. Mary often boasted of her rose garden to be the best garden in the city. But in reality it is nothing but ordinary.
D. Since he had nothing else to do during the break, he kept obsessing over his previous girlfriend.",C
56,The charming so-called CEO later proved to be the wrong choice to make a deal with. Turns out his promises were only empty words.,"A. I have decided to see the project through and I will do anything to get the work done.
B. Sachin is said to be the best cricketer in the world, but like every other player, he had to retire.
C. Keep a jug full of water near the table in case you get thirsty at night.
D. Don’t judge people based on appearances alone; appearances can be deceptive.",D
57,The charming so-called CEO later proved to be the wrong choice to make a deal with. Turns out his promises were only empty words.,"A. Make sure you take an umbrella – I know it's sunny now, but better safe than sorry.
B. Don't let his clothes fool you. He may dress himself in simple clothes without logos, but he is actually a millionaire.
C. By writing simple code first, one can eventually master the art of coding complex algorithms.
D. The painter did not have the yellow color with him so had to paint with red, making his painting famous for its unconventional choice.",B
58,The charming so-called CEO later proved to be the wrong choice to make a deal with. Turns out his promises were only empty words.,"A. It was a fantastic vacation, but all good things come to an end.
B. Although Lexi looks like an airhead, she is one of the wisest people I have ever met.
C. The presentation was such a mess! The presenters tried to convey a lot of information in such a short time that there was no clarity.
D. Even if rain is on the forecast, keep watering your garden.",B
59,The charming so-called CEO later proved to be the wrong choice to make a deal with. Turns out his promises were only empty words.,"A. Claire always thought that Max was unkind and rude because of his edgy fashion sense. But once she learned how kind and sensitive he was, she was surprised.
B. You can't write from an inkless pen.
C. Although Larry looked forward to meeting his favorite author at the event, he had yet to receive an invite.
D. Better to buy the sweets we are accustomed to than to try the new ones that might taste better.",A
60,The charming so-called CEO later proved to be the wrong choice to make a deal with. Turns out his promises were only empty words.,"A. No need to take so much work this quarter, as performance won't impact appraisals. Work more in the next two quarters when the management will actively prioritize it.
B. Jake might look confused all the time, but he's really extremely bright.
C. Lets meet him and ask about the robbery. Since he is the one who was robbed, it would be much more thrilling to hear.
D. Lake Erie drains into Lake Ontario via the Niagara River.",B
61,The charming so-called CEO later proved to be the wrong choice to make a deal with. Turns out his promises were only empty words.,"A. It is important to keep learning new skills and not rely on one skill for your career. With emerging technology, current skills may become outdated in the future.
B. Don't trust everything on the social media. It appears that people are having the best time of their lives, but remember, it can be fake.
C. A journey of a thousand miles begins with a single step.
D. He never told her about his feelings but everytime he met her, he was caring towards her.",B
62,The charming so-called CEO later proved to be the wrong choice to make a deal with. Turns out his promises were only empty words.,"A. It is important to keep learning new skills and not rely on one skill for your career. With emerging technology, current skills may become outdated in the future.
B. Ron comes up with detailed and complex pranks because he is not given any responsibilities towards anything.
C. The director finally completed the film, having done everything in his power to get the film released and bankrupting his production company.
D. Sometimes I feel I should have gone for my master’s degree like you instead of this job. Well, the grass is always greener on the other side.",D
63,The charming so-called CEO later proved to be the wrong choice to make a deal with. Turns out his promises were only empty words.,"A. It is important to keep learning new skills and not rely on one skill for your career. With emerging technology, current skills may become outdated in the future.
B. Politicians frequently tell lies, which gets them into problems. They could win election after election if they would just be sincere about their aims.
C. The lawyer left his profession to become an MBA graduate thinking it was better. Guess what? He is still struggling to find a job.
D. You wouldn't have these options once you move across the country, so work hard while you are here.",C
64,The charming so-called CEO later proved to be the wrong choice to make a deal with. Turns out his promises were only empty words.,"A. She has been talking trash about us all week to everyone. So I don't feel sorry for her when someone spilled all her secrets.
B. Often times, in the interest of reaching the destination, we forget to experience the journey.
C. John is rich and everyone is envious of his wealth. But he is also lonely as he has no one to share his life with.
D. I asked Joe to lend me his bicycle, and he sent me this old, rusty one which I had to use as I had no other option.",C
65,The charming so-called CEO later proved to be the wrong choice to make a deal with. Turns out his promises were only empty words.,"A. To avoid burning your hands, use oven mitts when removing the cake, as it will be hot unlike how it is now.
B. It looks like fun but it is actually a struggle to move to a different country. You should count your blessings.
C. Larry always starts the work without reading the requirements and tries to finish it early as well. This leads to others having to fix his work.
D. He was depending heavily on the success of his venture, but when it failed, he was ruined. He realized that he should have had other backup plans.",B
66,The charming so-called CEO later proved to be the wrong choice to make a deal with. Turns out his promises were only empty words.,"A. Lets meet him and ask about the robbery. Since he is the one who was robbed, it would be much more thrilling to hear.
B. Normally I try to maintain a good work-life balance, but I worked all of last week non stop because I had 5 deadlines and I couldn't miss any of them.
C. Even if rain is on the forecast, keep watering your garden.
D. The life of a celebrity looks like they have it all, but in fact they have more problems than anyone can possibly imagine.",D
67,The charming so-called CEO later proved to be the wrong choice to make a deal with. Turns out his promises were only empty words.,"A. The congressman became so involved in the wording of his bill that he did not realize that the bill could never pass.
B. The music producer selects a less liked song from his collection for his least favorite client.
C. When the season changes, we won't have access to such delicious mangoes. So, devour them.
D. She thought her neighbor's home was more attractive than her own when she turned to look at it. But she had no idea that it was more difficult to keep up.",D
68,Kevin was worshipped by the new recruits to be the best player in the game. But when they met him they learned that the famous goal was just a fluke.,"A. All that glitters is not gold.
B. The oldest laptop in the office is Lexi's. But she really enjoys using it.
C. The way the book is written, I get distracted by the peculiar grammar and word choice and can't learn anything from it.
D. Once she got bored and tired with the same old job, she decided to leave and opened up a restaurant.",A
69,Kevin was worshipped by the new recruits to be the best player in the game. But when they met him they learned that the famous goal was just a fluke.,"A. The life of royals looks glamorous from afar but it is not as happy and fun as it looks.
B. While people believed it was impossible to escape from the secret police, Peter somehow managed to do so successfully, albeit a bit close for comfort.
C. Peter's parents said they were not good parents at all but they were always ready to spend quality time with their children showing they were really good parents.
D. Let Mike share the incident with you as he is the one who went through it and will be able to give enough details.",A
70,Kevin was worshipped by the new recruits to be the best player in the game. But when they met him they learned that the famous goal was just a fluke.,"A. It looks easy but it is very hard to drive a car in this traffic. Only experienced drivers can navigate this chaos.
B. You can't drive a car with no fuel.
C. The journalist thought the life of the famous actress was extraordinary, only to realize later that it was not what it looks like.
D. Show some respect to your professor! He is a legend in his field.",C
71,Kevin was worshipped by the new recruits to be the best player in the game. But when they met him they learned that the famous goal was just a fluke.,"A. If you don’t go to sleep early, you will wake up late. As you sow, so shall you reap.
B. She has been talking trash about us all week to everyone. So I don't feel sorry for her when someone spilled all her secrets.
C. I hate to inform you that your A in chemistry was actually a clerical error.
D. The charming so-called CEO later proved to be the wrong choice to make a deal with. Turns out his promises were only empty words.",D
72,Kevin was worshipped by the new recruits to be the best player in the game. But when they met him they learned that the famous goal was just a fluke.,"A. Mary often boasted of her rose garden to be the best garden in the city. But in reality it is nothing but ordinary.
B. She knows he's lying to her, but she's choosing to turn a blind eye to the situation.
C. With no homework to do, I spent the weekend coming up with ways to annoy my brother.
D. Many people fail to understand the beauty of mathematics. But to me, it is the most meaningful subject.",A
73,Kevin was worshipped by the new recruits to be the best player in the game. But when they met him they learned that the famous goal was just a fluke.,"A. While a bed would be nice, I'm fine with sleeping on the sofa in the living room for now.
B. Part of the state budget comes from the federal government’s contentious spending package.
C. Don’t judge people based on appearances alone; appearances can be deceptive.
D. Victor thought acting is an easy and useless job until he joined a theater class and performed for the first time. He realised it is an art form not everyone can master.",C
74,Kevin was worshipped by the new recruits to be the best player in the game. But when they met him they learned that the famous goal was just a fluke.,"A. Karen is upset with Sandy for not telling her about her plans for the summer.
B. Don't let his clothes fool you. He may dress himself in simple clothes without logos, but he is actually a millionaire.
C. I wish the TV show never ended. It was so good but unfortunately the writers thought to end it at a high point.
D. Andy played hooky from work for a week saying he was sick, now he is on very thin ice according to his boss.",B
75,Kevin was worshipped by the new recruits to be the best player in the game. But when they met him they learned that the famous goal was just a fluke.,"A. My tiny daily coffee expenses are draining up all my income.
B. Although Lexi looks like an airhead, she is one of the wisest people I have ever met.
C. You can't pour from an empty cup.
D. These files require a throrough look, don't skim through them quickly.",B
76,Kevin was worshipped by the new recruits to be the best player in the game. But when they met him they learned that the famous goal was just a fluke.,"A. Claire always thought that Max was unkind and rude because of his edgy fashion sense. But once she learned how kind and sensitive he was, she was surprised.
B. It is not that cold today, but I'd still go by car since I can't afford to get sick.
C. Mary started making vacation plans but realized she might not get leave until the project was done.
D. You can't pour from an empty cup.",A
77,Kevin was worshipped by the new recruits to be the best player in the game. But when they met him they learned that the famous goal was just a fluke.,"A. In for a penny, in for a pound, we need to stay up all night and get the report done since we cannot turn it in half-finished.
B. If you had come earlier with your computer, it would have been possible to fix the malfunction. But now, you may need to buy a new one.
C. Jake might look confused all the time, but he's really extremely bright.
D. Philip avoided the chores by pretending to be busy until his mother realised he had no work and made him do the chores all week.",C
78,Kevin was worshipped by the new recruits to be the best player in the game. But when they met him they learned that the famous goal was just a fluke.,"A. Don't trust everything on the social media. It appears that people are having the best time of their lives, but remember, it can be fake.
B. Be thankful for the sunshine this summer because it only appears briefly during the winter.
C. He is so engrossed in his work that he is missing out on his personal life and his family.
D. She posted a lot about her friendship with Mary on Instagram. But in reality they hardly had any bond as they were constantly on their phones when together.",A
